"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","163","refreshEdr_whenNotAuthorized()","","Mon Nov 03 03:52:20 GMT 2025","passed","Mon Nov 03 03:52:21 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotAuthorized"
"","24","Policy is accepted Version Changes","","Mon Nov 03 03:52:22 GMT 2025","passed","Mon Nov 03 03:52:22 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","56","Policy is accepted Exclusive Usage","","Mon Nov 03 03:52:21 GMT 2025","passed","Mon Nov 03 03:52:21 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","3062","Contract policy is fulfilled DataExchangeGovernance use case","","Mon Nov 03 03:54:23 GMT 2025","passed","Mon Nov 03 03:54:26 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","162","refreshEdr_whenNotFound()","","Mon Nov 03 03:52:14 GMT 2025","passed","Mon Nov 03 03:52:14 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotFound"
"","61","Policy is accepted Affiliates Region (IS_ANY_OF, one element)","","Mon Nov 03 03:52:20 GMT 2025","passed","Mon Nov 03 03:52:20 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","152","triggerDataTransfer_shouldFail_whenDataFlowIsFinite()","","Mon Nov 03 03:53:10 GMT 2025","passed","Mon Nov 03 03:53:10 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsFinite"
"","1272","Refresh token success","","Mon Nov 03 03:52:25 GMT 2025","passed","Mon Nov 03 03:52:27 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_success"
"","52","Policy is accepted Contract reference","","Mon Nov 03 03:52:21 GMT 2025","passed","Mon Nov 03 03:52:21 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2187","Verify the refresh endpoint is not called when auto_refresh=false","","Mon Nov 03 03:52:11 GMT 2025","passed","Mon Nov 03 03:52:13 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_whenNotAutorefresh_shouldNotCallEndpoint"
"","40","4.3.3 Verify invalid access token - incorrect aud","","Mon Nov 03 03:52:18 GMT 2025","passed","Mon Nov 03 03:52:18 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenIncorrectAud"
"","129","shouldFail_whenDestinationBucketDoesNotExist()","","Mon Nov 03 03:53:25 GMT 2025","passed","Mon Nov 03 03:53:25 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldFail_whenDestinationBucketDoesNotExist"
"","35","Policy is accepted Affiliates Region","","Mon Nov 03 03:52:22 GMT 2025","passed","Mon Nov 03 03:52:22 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2040","transferMultipleFiles()","","Mon Nov 03 03:53:38 GMT 2025","passed","Mon Nov 03 03:53:40 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferMultipleFiles"
"","6086","azureBlobPush_withDestFolder()","","Mon Nov 03 03:53:00 GMT 2025","passed","Mon Nov 03 03:53:06 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withDestFolder"
"","1351","BusinessPartnerCreated event is published","","Mon Nov 03 03:52:21 GMT 2025","passed","Mon Nov 03 03:52:22 GMT 2025","","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","shouldPublishBusinessPartnerCreatedEvent"
"","25","Policy is accepted Warranty","","Mon Nov 03 03:52:22 GMT 2025","passed","Mon Nov 03 03:52:22 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","13116","httpPushNonFiniteDataTransfer()","","Mon Nov 03 03:57:15 GMT 2025","passed","Mon Nov 03 03:57:28 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp08to08","httpPushNonFiniteDataTransfer"
"","53","Policy is accepted Data Usage End Date","","Mon Nov 03 03:52:20 GMT 2025","passed","Mon Nov 03 03:52:20 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","37","4.3.1 Verifier should reject an ID token that does not contain an access token","","Mon Nov 03 03:52:18 GMT 2025","passed","Mon Nov 03 03:52:18 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_01_presentationResponse_idTokenNoTokenClaim"
"","3983","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody()","","Mon Nov 03 03:55:25 GMT 2025","passed","Mon Nov 03 03:55:29 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody"
"","179","Expect the Catalog request to fail if a credential is expired","","Mon Nov 03 03:53:34 GMT 2025","passed","Mon Nov 03 03:53:34 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","catalogRequest_whenCredentialExpired"
"","39136","Catalog with 1000 offers","","Mon Nov 03 03:52:22 GMT 2025","passed","Mon Nov 03 03:53:02 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_of1000Assets_shouldContainAll"
"","4556","Verify that the callbacks are invoked when negotiating an EDR","","Mon Nov 03 03:52:40 GMT 2025","passed","Mon Nov 03 03:52:44 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","negotiateEdr_shouldInvokeCallbacks"
"","134","5.4.3.6 Verifier should reject Presentations where at least 1 credential is revoked/suspended","","Mon Nov 03 03:52:18 GMT 2025","passed","Mon Nov 03 03:52:18 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_06_presentationResponse_credentialRevoked"
"","103","Policy is not accepted Usage policy with empty permission","","Mon Nov 03 03:52:21 GMT 2025","passed","Mon Nov 03 03:52:22 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","31","Policy is accepted MembershipCredential","","Mon Nov 03 03:52:22 GMT 2025","passed","Mon Nov 03 03:52:22 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","43","Policy is accepted ContractTermination","","Mon Nov 03 03:52:21 GMT 2025","passed","Mon Nov 03 03:52:21 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","1278","The authentication token has a invalid id","","Mon Nov 03 03:52:20 GMT 2025","passed","Mon Nov 03 03:52:21 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidTokenId"
